cell_type,cell_id,condition,sub_type,nCounts,mito_pct,umap1,umap2
B cells,p3t2:bcGGWX,tumor,tB,1266,5.52922590837283,-10.2593116945681,0.193799459026994
B cells,p3t2:bcCPMB,tumor,tB,1479,8.11359026369168,-10.2136783785281,-0.739733971072493
B cells,p3t3:bcEKDE,tumor,tB,2598,7.81370284834488,-10.06139471001,-1.53079924674159
B cells,p3t1:bcDWDH,tumor,tB,1176,7.48299319727891,-10.7683696932254,-1.29832700581676
B cells,p5t2:bcEOPW,tumor,tB,1532,8.68146214099217,-10.3530588335452,-1.07604417891627
B cells,p3t1:bcDZWG,tumor,tB,1316,9.34650455927052,-10.9081306642947,-0.47263959736949
B cells,p3t2:bcGBHD,tumor,tB,1618,4.26452410383189,-10.354194659656,0.344648801373186
B cells,p3t3:bcFTXJ,tumor,tB,1357,6.63227708179808,-10.0889396852908,-0.617862022830305
B cells,p3t2:bcIATJ,tumor,tB,1820,6.97802197802198,-10.6710624880252,-0.379928029490767
B cells,p1t2:bcAXLZ,tumor,tB,1391,9.99281092739037,-10.4207430071292,0.316909991787615
B cells,p3t3:bcBXVN,tumor,tB,1418,8.81523272214387,-10.6721172518191,-0.334955848170576
B cells,p3t1:bcEBTZ,tumor,tB,1370,8.83211678832117,-10.0858802980838,-1.05271444411403
B cells,p3t2:bcEMPS,tumor,tB,1389,8.71130309575234,-10.7778911776004,-0.554819024516402
B cells,p3t2:bcDIMA,tumor,tB,2027,9.86679822397632,-9.94024469322536,-0.402105129672346
B cells,p3t3:bcAWQM,tumor,tB,1658,9.83112183353438,-10.139597911304,0.271692954586687
B cells,p5t2:bcHLNK,tumor,tB,1320,7.72727272727273,-10.2632398790774,-0.0308804878724196
B cells,p3t3:bcGNPB,tumor,tB,2486,8.3668543845535,-10.656931895679,-0.856416262103377
B cells,p3t3:bcAOAU,tumor,tB,1588,5.2896725440806,-10.2372780031619,0.00771220831746078
B cells,p6t2:bcEKLY,tumor,tB,1574,9.46632782719187,-10.8948507494387,-0.813005245639143
B cells,p3t1:bcBVNK,tumor,tB,1405,8.75444839857651,-10.0860777086673,-1.43692482204562
B cells,p3t2:bcAWNF,tumor,tB,1537,6.96161353285621,-10.4008493608889,-1.31111199350482
B cells,p3t2:bcHHAU,tumor,tB,1716,8.15850815850816,-10.389540690845,-0.0828624138367751
B cells,p3t3:bcFJUN,tumor,tB,2091,8.60832137733142,-10.6472101396975,-0.15407863946086
B cells,p5t2:bcGCIR,tumor,tB,1778,4.83689538807649,-10.3001175112185,-1.28987131209498
B cells,p3t1:bcCLPI,tumor,tB,1215,5.76131687242798,-10.7287216371951,-0.715862310839949
B cells,p3t2:bcGRFG,tumor,tB,1472,8.08423913043478,-10.0613537020144,-0.688673413707075
B cells,p5t2:bcEFSH,tumor,tB,1411,8.29199149539334,-10.3539724535403,-1.72541136981374
B cells,p3t3:bcEJBK,tumor,tB,1361,9.478324761205,-10.3266115374026,-0.582829988910017
B cells,p1b2:bcCWUT,healthy,bB cells,3564,7.4354657687991,-10.2791309542117,0.518336736248674
B cells,p3t3:bcHHME,tumor,tB,1472,9.78260869565217,-10.2304439730105,-1.20172242016917
B cells,p3t2:bcGNJY,tumor,tB,1254,7.25677830940989,-10.6315460390506,-1.55404519231444
B cells,p5t2:bcEILY,tumor,tB,1248,9.4551282051282,-10.2917375750003,-0.530682242823897
B cells,p3t2:bcIIBT,tumor,tB,1183,8.28402366863906,-10.3106098360476,0.373386823223772
B cells,p3t2:bcFQZO,tumor,tB,1441,8.74392782789729,-10.5731983370242,-1.63181485922462
B cells,p3t3:bcCSKR,tumor,tB,1548,7.94573643410853,-10.7314081377444,-0.91165760846263
B cells,p3t3:bcBSDS,tumor,tB,1762,6.98070374574347,-10.2467079348025,-0.43285802693492
B cells,p3t2:bcBIIZ,tumor,tB,1377,8.4241103848947,-10.6918201631961,-1.03896377177363
B cells,p3t1:bcEDSX,tumor,tB,1634,8.99632802937576,-10.0559635347781,-1.11100117058879
B cells,p5t2:bcDZWJ,tumor,tB,1650,9.63636363636364,-10.7050800508914,-0.574903047992049
B cells,p3t2:bcDPDE,tumor,tB,1152,7.98611111111111,-10.4287338442263,-1.69267202110415
B cells,p3t2:bcEFTF,tumor,tB,1065,9.38967136150235,-10.3465986437259,0.384046756313982
B cells,p3t3:bcCAUY,tumor,tB,1271,8.26121164437451,-10.7004852480349,-0.0291043886674025
B cells,p6t1:bcAENZ,tumor,tB,1054,9.77229601518026,-10.3608722872195,0.437617980526628
B cells,p3t3:bcEVIU,tumor,tB,2522,7.81126090404441,-9.93114282554958,-1.32078931422359
B cells,p5t2:bcIGJG,tumor,tB,1021,9.50048971596474,-10.8411817736087,-1.0482814082635
B cells,p3t2:bcFYSN,tumor,tB,4810,8.58627858627859,-10.6878853029666,-0.860412634326277
B cells,p3t2:bcIJSM,tumor,tB,1520,8.55263157894737,-10.2830333895144,-1.43045181722766
B cells,p4t3:bcFKFZ,tumor,tB,1191,8.31234256926952,-10.2909994310794,0.306360446499529
B cells,p3t3:bcGWVU,tumor,tB,2269,7.36007051564566,-10.3001728243289,-0.347897804690657
B cells,p3t1:bcEHIN,tumor,tB,1175,8.08510638297872,-10.7102604097781,0.0901296964156053
B cells,p3t2:bcFXYI,tumor,tB,1047,7.73638968481375,-10.1396475023684,0.232809745358171
B cells,p5t2:bcDJIB,tumor,tB,1263,7.04671417260491,-10.6954136080203,-1.13583318085795
B cells,p1b2:bcFKGY,healthy,bB cells,1223,9.64840556009812,2.22322223716404,8.60331126360768
B cells,p3t2:bcHZSY,tumor,tB,1088,8.45588235294118,-10.5202245897708,-0.352860129786787
B cells,p4t1:bcEUYO,tumor,tB,1064,5.73308270676692,-10.0937376207766,-1.48439703078395
B cells,p3t1:bcFJYH,tumor,tB,2184,9.06593406593407,-10.1311388201175,-1.57529110403186
B cells,p3t1:bcGODL,tumor,tB,1978,8.13953488372093,-9.85283567375515,-1.33915675373202
B cells,p3t1:bcHLHD,tumor,tB,1890,8.04232804232804,-10.2048511690554,-1.44192445964938
B cells,p3t1:bcGVSG,tumor,tB,1665,8.04804804804805,-10.7851047701297,-0.46521726937419
B cells,p3t2:bcFRAN,tumor,tB,1800,9.61111111111111,-10.1370554155764,-1.47551564068919
B cells,p5t2:bcEIFU,tumor,tB,1549,8.00516462233699,-10.869071978992,-0.56407288403636
B cells,p3t2:bcDQUS,tumor,tB,1647,8.07528840315726,-10.5008936113772,0.192492925213518
B cells,p7t1:bcGNSQ,tumor,tB,1593,8.91399874450722,-10.7728529161868,-0.0942334303391554
B cells,p3t3:bcAQHZ,tumor,tB,1228,8.22475570032573,-10.1129064745364,-1.2907421955598
B cells,p3t2:bcEVXI,tumor,tB,1351,7.9940784603997,-10.4281387514529,-0.758707440806685
B cells,p3t2:bcDTPW,tumor,tB,1332,8.40840840840841,-10.3448515123782,0.0303935637938402
B cells,p3t3:bcFRQG,tumor,tB,2106,7.69230769230769,-10.3281030840335,-1.3793689677251
B cells,p3t3:bcBVQQ,tumor,tB,1537,8.97852960312297,-10.8941030687747,-0.994746721698103
B cells,p3t3:bcGGAO,tumor,tB,1585,9.46372239747634,-10.1388788408694,-1.57688701839572
B cells,p5t2:bcFWIQ,tumor,tB,1372,6.99708454810496,-10.8520231432376,-0.904672301722822
B cells,p3t2:bcEWFG,tumor,tB,1501,7.92804796802132,-10.1234550661502,-1.0988886723054
B cells,p3t2:bcDRKU,tumor,tB,1038,9.05587668593449,-10.8183489031253,-0.981763578368483
B cells,p3t2:bcAMQK,tumor,tB,1895,9.76253298153034,-9.95166971153591,-0.840099311782179
B cells,p3t3:bcBPFS,tumor,tB,1772,8.97291196388262,-10.4265461153445,-0.892843759967146
B cells,p3t2:bcFCJH,tumor,tB,1987,9.56215400100654,-10.2611456102786,-1.0776273974908
B cells,p3t2:bcHVJS,tumor,tB,1945,6.37532133676093,-10.5075950807986,-0.10550514550334
B cells,p3t1:bcGZET,tumor,tB,1381,8.54453294713975,-10.1828899568972,-1.59178971440917
B cells,p6t1:bcFCWU,tumor,tB,1447,8.84588804422944,-10.1815986818728,-0.807440257979689
B cells,p3t2:bcGNTH,tumor,tB,1509,3.24718356527502,-10.1856012529788,-0.31767383904582
B cells,p3t2:bcHWZE,tumor,tB,1729,8.03932909196067,-10.3775339312014,-0.0301624903214552
B cells,p5t2:bcGOHR,tumor,tB,1010,8.01980198019802,-10.4331159777102,0.44851633219594
B cells,p6t1:bcHXVO,tumor,tB,1620,9.1358024691358,-10.4980669207034,-1.67996408732062
B cells,p3t2:bcBBXB,tumor,tB,1199,8.59049207673061,-10.4641313738284,-1.66577225120193
B cells,p7t2:bcFEMF,tumor,tB,1631,8.03188228080932,-10.0925016588626,-1.43924320430881
B cells,p5t2:bcIIWU,tumor,tB,1016,5.70866141732284,-2.64831020302151,8.13608618883962
B cells,p1t4:bcHTPJ,tumor,tB,1942,7.56951596292482,-10.3016328997073,0.412597381161394
B cells,p3t2:bcFZVF,tumor,tB,2190,9.17808219178082,-10.8738928026614,-1.12666366191035
B cells,p3t2:bcFAIP,tumor,tB,1366,9.22401171303075,-10.2657461351809,-0.04821435303813
B cells,p6t1:bcETRC,tumor,tB,1011,9.29772502472799,-10.8484440035281,-0.925183988524733
B cells,p3t2:bcFKUZ,tumor,tB,1409,7.59403832505323,-9.92124273247097,-1.42504931182986
B cells,p2t2:bcEAHU,tumor,tB,3024,9.12698412698413,-10.5651855654177,0.0889451137053392
B cells,p3t2:bcGZEI,tumor,tB,1845,9.10569105691057,-9.95242120689724,-0.942702210856734
B cells,p6t1:bcHADN,tumor,tB,1113,4.04312668463612,-10.3998041338382,0.278432332562151
B cells,p3t2:bcFBRI,tumor,tB,2028,8.72781065088758,-10.7142744249759,-0.750087297869978
B cells,p1t2:bcABFN,tumor,tB,1443,2.7027027027027,-9.96879674858425,-1.43153170437938
B cells,p3t1:bcHUTS,tumor,tB,1269,4.88573680063042,-10.5391216463504,-0.103174246264754
B cells,p3t3:bcHJEN,tumor,tB,1532,9.46475195822454,-10.3131714052615,0.00628300814503646
B cells,p3t3:bcGYAW,tumor,tB,1224,6.37254901960784,-9.97219469017361,-1.08522853942042
B cells,p3t2:bcFHIC,tumor,tB,1517,8.76730388925511,-10.6381216234622,-0.194067634059248
B cells,p3t2:bcHXFQ,tumor,tB,1861,8.16765180010747,-10.7053346819339,0.0744768014418504
B cells,p3t2:bcBWRY,tumor,tB,1692,7.62411347517731,-10.6980438417849,-0.00730947346812272
B cells,p3t1:bcDYXF,tumor,tB,1035,8.59903381642512,-10.186285991138,-0.961994386626539
B cells,p6t1:bcCIAR,tumor,tB,1507,6.96748506967485,-10.1775293535647,-1.54255668015605
B cells,p3t3:bcCOZJ,tumor,tB,1312,7.6219512195122,-10.4044313616214,-0.373485721064863
B cells,p3t2:bcARTU,tumor,tB,1125,6.48888888888889,-10.1463604158816,-0.180549539042769
B cells,p3t1:bcCIOR,tumor,tB,2261,8.49181777974348,-9.87680437034939,-1.39482871384746
B cells,p3t1:bcDRGA,tumor,tB,1886,9.06680805938494,-10.7449226564822,-0.0113988289368727
B cells,p3t2:bcEDGT,tumor,tB,1335,7.49063670411985,-10.0624160952029,-0.755209124995528
B cells,p3t3:bcGVRH,tumor,tB,1350,9.33333333333333,-9.75383092827175,-0.689639604998884
B cells,p4t1:bcHHSB,tumor,tB,1049,6.95900857959962,-10.6476249880252,0.166113816784563
B cells,p4t1:bcCWWT,tumor,tB,1213,1.48392415498763,-3.13323928779934,9.3951880565154
B cells,p3t2:bcHYYB,tumor,tB,1390,8.20143884892086,-10.0135889238772,-0.764018929911909
B cells,p6t2:bcECJC,tumor,tB,1144,9.96503496503496,-10.5316467470584,-0.1321773895753
B cells,p5t2:bcIGJS,tumor,tB,1141,8.06310254163015,-9.80384637779568,-0.773083961917219
B cells,p3t1:bcCONJ,tumor,tB,1562,8.8348271446863,-10.4073333925662,0.37363930849904
B cells,p3t1:bcCHXV,tumor,tB,1068,8.70786516853933,-11.0079870409426,-0.491429127169905
B cells,p3t3:bcFXOR,tumor,tB,1692,8.274231678487,-10.8284883684573,-0.60795978398448
B cells,p3t1:bcHWVH,tumor,tB,1501,8.79413724183877,-9.86326982445095,-0.675138629390059
B cells,p3t3:bcIFJR,tumor,tB,1828,6.40043763676149,-10.2493620104251,-1.01289293856746
B cells,p5t2:bcCQFI,tumor,tB,1166,9.17667238421955,-10.0331297106204,-1.23948536009913
B cells,p3t1:bcGPKG,tumor,tB,1067,7.49765698219306,-10.7035665697512,-1.10846511216289
B cells,p3t1:bcGOHY,tumor,tB,1238,8.72374798061389,-10.0490122026858,-0.806886948062239
B cells,p6t2:bcGYAF,tumor,tB,1610,7.26708074534162,-10.5615701860843,-0.280090368701277
B cells,p3t1:bcGSSF,tumor,tB,1452,8.19559228650138,-10.4167213625369,0.313861810253801
B cells,p1t2:bcATIE,tumor,tB,1070,8.31775700934579,-10.5775118059573,0.399101935909929
B cells,p3t1:bcGRWW,tumor,tB,1616,9.9009900990099,-9.88805200523708,-0.706646598292647
B cells,p3t2:bcIDDH,tumor,tB,1858,8.82669537136706,-9.87409593529079,-0.336991227580366
B cells,p3t1:bcGYAL,tumor,tB,1513,7.93126239259749,-9.70790674156521,-0.874206579638777
B cells,p3b1:bcHYBX,healthy,bB cells,9996,9.67386954781913,-2.92220928139065,8.97224208025807
B cells,p3t1:bcGWEZ,tumor,tB,1345,8.7732342007435,-10.1310129351077,-1.08051852078563
B cells,p3t3:bcARTC,tumor,tB,1664,7.93269230769231,-10.2312450594363,0.0178342690932176
B cells,p3t2:bcBPXG,tumor,tB,1447,8.43123704215619,-10.788990992969,-0.547706163836775
B cells,p5t2:bcHWVY,tumor,tB,1461,8.35044490075291,-9.97531511253689,-0.999509013606367
B cells,p5t2:bcAOCQ,tumor,tB,1531,6.27041149575441,-10.5467815584597,-1.58615293295508
B cells,p1t2:bcFLIF,tumor,tB,2121,9.99528524281,-10.6210518068728,0.0863691201674364
B cells,p3t2:bcGRDA,tumor,tB,1207,7.45650372825187,-10.0315180010257,-0.951519764376936
B cells,p6t1:bcCVAP,tumor,tB,1037,6.8466730954677,-10.2709293550906,0.209898196743669
B cells,p1t2:bcHBJZ,tumor,tB,1177,9.34579439252336,-10.1402998156009,-0.749272740794478
B cells,p3t2:bcALNV,tumor,tB,2065,9.29782082324455,-10.7277832216677,-0.826186574412642
B cells,p3t2:bcFRJJ,tumor,tB,1691,8.21998817267889,-10.7568206972537,-1.23628310055858
B cells,p3t3:bcBOJX,tumor,tB,1910,9.52879581151833,-10.8347044176516,-1.25580827088481
B cells,p1t3:bcFUUZ,tumor,tB,2421,8.96323833126807,-10.788538951343,-0.0751724609864333
B cells,p1t1:bcEHUO,tumor,tB,1013,8.09476801579467,-10.3913870043216,-1.35042587609416
B cells,p7t2:bcEHVV,tumor,tB,2020,6.63366336633663,-10.6784029192385,-1.1225772270692
B cells,p3t2:bcBBSX,tumor,tB,1676,9.90453460620525,-10.226813334888,-1.27295092435008
B cells,p2t1:bcDWVQ,tumor,tB,1843,6.51112316874661,-10.4169712252078,0.268333398388567
B cells,p5t2:bcFKFR,tumor,tB,1192,6.45973154362416,-10.7007150835452,0.203223191784563
B cells,p1t1:bcCGSO,tumor,tB,1137,9.32277924362357,-10.6439132875857,-0.0742040047181227
B cells,p3t2:bcCKJE,tumor,tB,1667,8.3383323335333,-10.5348863787112,-0.784569300128279
B cells,p3t3:bcIJKN,tumor,tB,1976,8.60323886639676,-10.2677183336673,-0.445468700839339
B cells,p3t2:bcIFMV,tumor,tB,1771,9.71202710333145,-10.0640821642337,-0.995339370681105
B cells,p7t2:bcBVEU,tumor,tB,1272,9.90566037735849,-10.1765165514407,0.0659454694258592
B cells,p2t1:bcGNLD,tumor,tB,2326,9.84522785898538,-10.1417722887454,0.0471531978117845
B cells,p3t2:bcAAWX,tumor,tB,1396,7.30659025787966,-10.1113615221438,-0.288304127169905
B cells,p5t2:bcCSWO,tumor,tB,1021,8.32517140058766,-10.2569408602176,-0.808124102069197
B cells,p3t3:bcGGVG,tumor,tB,1961,9.9949005609383,-9.85429098076198,-0.926810122443495
B cells,p3t1:bcBMHP,tumor,tB,1446,9.61272475795298,-10.1651716417727,-1.37922701926356
B cells,p1t2:bcEOLC,tumor,tB,1044,1.4367816091954,-10.6619110292849,-1.64785609336024
B cells,p3t2:bcDBEQ,tumor,tB,1292,8.20433436532508,-10.4139852709231,0.0564077725874803
B cells,p5t2:bcEKPX,tumor,tB,1208,2.64900662251656,-10.4581594652591,-1.21338615508204
B cells,p1t3:bcFLSJ,tumor,tB,2330,9.14163090128755,-10.5508184618411,0.213636123226824
B cells,p6t1:bcDSJM,tumor,tB,1333,9.07726931732933,-10.0642051882205,-0.798972285701094
B cells,p3t2:bcCIQB,tumor,tB,1972,9.53346855983773,-10.586432475513,0.247335397289934
B cells,p3t2:bcEKJZ,tumor,tB,2467,6.36400486420754,-10.274680156177,-0.652443564845381
B cells,p1t1:bcCYEA,tumor,tB,1222,3.84615384615385,-10.0151710695681,-1.14706394763118
B cells,p3t2:bcHLIO,tumor,tB,1657,8.99215449607725,-10.5301246828494,-0.03100243897563
B cells,p3t3:bcAWZU,tumor,tB,2164,9.84288354898336,-9.9043989366946,-1.12684038968211
B cells,p3t1:bcGLTI,tumor,tB,1027,8.37390457643622,-10.0047865099368,-0.121550477458296
B cells,p3t2:bcICQS,tumor,tB,1171,6.49017933390265,-10.5006628221926,-0.549947656108198
B cells,p3t2:bcCYNA,tumor,tB,1971,8.82800608828006,-10.3489675707278,-0.0232574114335158
B cells,p3t2:bcEXDL,tumor,tB,2431,7.81571369806664,-10.8314190096316,-0.848232544375716
B cells,p7t1:bcCWON,tumor,tB,1670,9.64071856287425,-10.3048896974978,-0.227699078036604
B cells,p3t3:bcGJEI,tumor,tB,2625,7.31428571428572,-10.55797674126,-1.25325421185618
B cells,p3t1:bcAHFT,tumor,tB,1787,7.89031897034135,-10.053036708301,-1.32745269627696
B cells,p3t1:bcCSFG,tumor,tB,1552,9.85824742268041,-10.3714266008792,-1.64984685869342
B cells,p1b2:bcHYFJ,healthy,bB cells,2493,9.02527075812274,-10.1940355486331,0.592033349560442
B cells,p2t1:bcHEGC,tumor,tB,2137,4.02433317735143,-10.1810035890994,0.554057799862566
B cells,p3t3:bcCQBO,tumor,tB,1036,9.16988416988417,-10.5592289156375,0.0972600808607957
B cells,p3t1:bcAWNP,tumor,tB,2172,6.81399631675875,-10.1198787874636,-1.54609680862552
B cells,p3t2:bcGSWP,tumor,tB,1177,8.49617672047579,-10.3199482149539,-0.923986769629774
B cells,p3t2:bcHVVK,tumor,tB,1492,7.9088471849866,-10.7642097658572,-1.25927261204845
B cells,p3t1:bcCPSP,tumor,tB,1632,6.43382352941176,-10.7885484880862,-0.998194373561201
B cells,p2b1:bcHGKG,healthy,bB cells,2006,7.22831505483549,-10.1301746553836,0.67962976603383
B cells,p3t1:bcCLME,tumor,tB,1322,8.69894099848714,-10.7386951631961,-1.09031841845637
B cells,p5t2:bcHNKW,tumor,tB,1036,9.16988416988417,-10.244105357593,-0.213455832911787
B cells,p3t1:bcIGAG,tumor,tB,1742,9.01262916188289,-10.7753334230838,-0.961696899844465
B cells,p3t2:bcIELB,tumor,tB,2073,7.95947901591896,-10.3379631227908,-0.197649873210249
B cells,p3t1:bcHXOF,tumor,tB,1954,8.95598771750256,-10.412453669971,-1.58787842781669
B cells,p3t2:bcDDTQ,tumor,tB,1399,7.57684060042888,-10.4437666124759,-0.00222376675730729
B cells,p3t2:bcHJUR,tumor,tB,1247,6.81635926222935,-10.5437736696658,-1.68867868126756
B cells,p3t2:bcAIXZ,tumor,tB,1638,7.81440781440781,-10.2522936052737,-1.37435511441356
B cells,p3t1:bcHKYS,tumor,tB,1670,8.80239520958084,-10.2354412264285,-0.477237857295332
B cells,p5t2:bcGPZC,tumor,tB,1342,9.61251862891207,-10.1857538408694,-1.39472205133563
B cells,p3t2:bcFPWK,tumor,tB,2403,9.07199334165626,-10.2353019899783,-1.45375380606776
B cells,p3t1:bcGJMN,tumor,tB,1596,8.52130325814536,-10.0370216555056,-1.43016198964244
B cells,p3t2:bcDLIN,tumor,tB,1839,8.37411636759108,-10.6984815782962,-0.491049803210554
B cells,p3t2:bcHYXN,tumor,tB,1630,9.75460122699387,-9.96930410332058,-1.32754961342937
B cells,p3t3:bcFPOJ,tumor,tB,1316,8.20668693009119,-10.0481052584109,-0.681287921382246
